Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1717724489,100,,Aggregated,29.900000,0.000000,100,110,110,110,130,220,220,230,230,230,230,431,0,101.25795799831394,134.54552677260068,101.25795799831394,365.432000002329,1256.0
1717724490,100,GET,/,31.200000,0.000000,100,110,110,110,110,210,220,220,220,220,220,459,0,101.25795799831394,132.8174374422403,101.25795799831394,365.432000002329,1256.0
1717724490,100,,Aggregated,31.200000,0.000000,100,110,110,110,110,210,220,220,220,220,220,459,0,101.25795799831394,132.8174374422403,101.25795799831394,365.432000002329,1256.0
1717724491,100,GET,/,32.100000,0.000000,100,110,110,110,110,110,210,210,220,220,220,495,0,101.25795799831394,130.82998769896957,101.25795799831394,365.432000002329,1256.0
1717724491,100,,Aggregated,32.100000,0.000000,100,110,110,110,110,110,210,210,220,220,220,495,0,101.25795799831394,130.82998769896957,101.25795799831394,365.432000002329,1256.0
1717724492,100,GET,/,33.000000,0.000000,100,110,110,110,110,110,110,120,130,130,130,524,0,101.25795799831394,129.38698965840663,101.25795799831394,365.432000002329,1256.0
1717724492,100,,Aggregated,33.000000,0.000000,100,110,110,110,110,110,110,120,130,130,130,524,0,101.25795799831394,129.38698965840663,101.25795799831394,365.432000002329,1256.0
1717724493,100,GET,/,32.500000,0.000000,100,110,110,110,110,110,110,120,130,130,130,552,0,101.25795799831394,128.16077195653978,101.25795799831394,365.432000002329,1256.0
1717724493,100,,Aggregated,32.500000,0.000000,100,110,110,110,110,110,110,120,130,130,130,552,0,101.25795799831394,128.16077195653978,101.25795799831394,365.432000002329,1256.0
1717724494,100,GET,/,32.800000,0.000000,100,110,110,110,110,110,110,120,430,430,430,588,0,101.25795799831394,127.27005731634019,101.25795799831394,425.07216699959827,1256.0
1717724494,100,,Aggregated,32.800000,0.000000,100,110,110,110,110,110,110,120,430,430,430,588,0,101.25795799831394,127.27005731634019,101.25795799831394,425.07216699959827,1256.0
1717724495,100,GET,/,32.100000,0.000000,100,110,110,110,110,110,110,120,430,430,430,617,0,101.25795799831394,126.24358204055088,101.25795799831394,425.07216699959827,1256.0
1717724495,100,,Aggregated,32.100000,0.000000,100,110,110,110,110,110,110,120,430,430,430,617,0,101.25795799831394,126.24358204055088,101.25795799831394,425.07216699959827,1256.0
1717724496,100,GET,/,33.300000,0.000000,100,110,110,110,110,110,120,120,430,430,430,652,0,100.78737499861745,125.09932348163541,100.78737499861745,425.07216699959827,1256.0
1717724496,100,,Aggregated,33.300000,0.000000,100,110,110,110,110,110,120,120,430,430,430,652,0,100.78737499861745,125.09932348163541,100.78737499861745,425.07216699959827,1256.0
1717724497,100,GET,/,32.500000,0.000000,100,110,110,110,110,110,120,120,430,430,430,680,0,100.78737499861745,124.25659257651739,100.78737499861745,425.07216699959827,1256.0
1717724497,100,,Aggregated,32.500000,0.000000,100,110,110,110,110,110,120,120,430,430,430,680,0,100.78737499861745,124.25659257651739,100.78737499861745,425.07216699959827,1256.0
1717724498,100,GET,/,31.900000,0.000000,100,110,110,110,110,110,120,120,430,430,430,716,0,100.78737499861745,123.22542014669263,100.78737499861745,425.07216699959827,1256.0
1717724498,100,,Aggregated,31.900000,0.000000,100,110,110,110,110,110,120,120,430,430,430,716,0,100.78737499861745,123.22542014669263,100.78737499861745,425.07216699959827,1256.0
1717724499,100,GET,/,32.100000,0.000000,100,110,110,110,110,110,120,120,430,430,430,743,0,100.78737499861745,122.56804692870763,100.78737499861745,425.07216699959827,1256.0
1717724499,100,,Aggregated,32.100000,0.000000,100,110,110,110,110,110,120,120,430,430,430,743,0,100.78737499861745,122.56804692870763,100.78737499861745,425.07216699959827,1256.0
1717724500,100,GET,/,31.800000,0.000000,100,110,110,110,110,110,120,120,430,430,430,781,0,100.78737499861745,121.73390753269044,100.78737499861745,425.07216699959827,1256.0
1717724500,100,,Aggregated,31.800000,0.000000,100,110,110,110,110,110,120,120,430,430,430,781,0,100.78737499861745,121.73390753269044,100.78737499861745,425.07216699959827,1256.0
