,Domain name,Company name,Twitter,Facebook,Domain_valid,Twitter_valid,Facebook_valid,response_time,error_type
99,brouwerijdemolen.nl,brouwerij de molen,unknown,bierbrouwerijdemolen,TRUE,TRUE,TRUE,0.468652,
100,michelguerard.com,michel guérard,michelguerard,unknown,TRUE,TRUE,TRUE,0.523593,
101,lefarcon.fr,le farçon,unknown,unknown,TRUE,TRUE,TRUE,0.883058,
102,burger.fr,burger,unknown,burgeretcie,TRUE,TRUE,TRUE,1.838259,
103,champagne-bauser.com,champagne bauser,bauserchampagne,champagne.bauser,TRUE,TRUE,TRUE,Non-functional (Timeout Error),
104,josephmellot.com,joseph mellot,josephmellot,josephmellot,TRUE,TRUE,TRUE,2.599553,
105,chateau-cantenac.fr,château cantenac,chateaucantenac,chateau.cantenac.saint.emilion.grand.cru,TRUE,TRUE,TRUE,2.308532,
106,lebaligan.fr,le baligan,unknown,lebaligan,TRUE,TRUE,TRUE,1.638701,
107,golfatlantide.com,golf atlantide,atlantidegolf,clubdegolfatlantide,TRUE,TRUE,TRUE,1.32413,
108,lecerisier.com,le cerisier,unknown,lecerisierlille,TRUE,TRUE,TRUE,1.227183,
109,sucreriedelamontagne.com,sucrerie de la montagne,unknown,lasucreriedelamontagne,TRUE,TRUE,TRUE,2.265767,
110,restaurants-alsaciens.fr,les restaurants alsaciens strasbourg,unknown,restaurantsalsaciens,TRUE,TRUE,TRUE,2.256095,
111,townfood.com,town food service equipment co.,unknown,unknown,TRUE,TRUE,TRUE,-1,403
112,lacafeotheque.com,la caféothèque,lacafeotheque,lacafeotheque,TRUE,TRUE,TRUE,1.100384,
113,planete-nextgen.com,planete nextgen,planetenextgen,unknown,TRUE,TRUE,TRUE,0.746014,
114,digiplace.fr,digiplace,unknown,unknown,TRUE,TRUE,TRUE,0.178538,
115,pascaline.fr,pascaline,unknown,restaurantpascalinerouen,TRUE,TRUE,TRUE,0.289431,
116,bioparc-zoo.fr,bioparc - zoo de doué-la-fontaine,unknown,bioparcofficiel,TRUE,TRUE,TRUE,0.196612,
117,jacksaloon.com,jack saloon,unknown,jacksaloondix30,TRUE,TRUE,TRUE,1.09727,
118,chateaudelaresle.com,château de la resle,unknown,chateaudelaresleburgundy,TRUE,TRUE,TRUE,-1,403
119,hostellerie-des-clos.fr,hostellerie des clos,unknown,unknown,TRUE,TRUE,TRUE,2.470483,
120,zanzibar-voyage.com,zanzibar voyage,unknown,unknown,TRUE,TRUE,TRUE,0.587433,
121,livetsgoda.se,livets goda wine magazine,unknown,livetsgoda,TRUE,TRUE,TRUE,0.829352,
122,chateaubeauregard.net,,unknown,unknown,TRUE,TRUE,TRUE,1.474981,
123,haut-thorenc.com,,unknown,unknown,TRUE,TRUE,TRUE,0.905377,
124,labutte.fr,la butte hotel & spa,unknown,labutteplouider,TRUE,TRUE,TRUE,1.326161,
125,ginkosushi.lu,ginko sushi luxembourg,unknown,unknown,TRUE,TRUE,TRUE,0.60573,
126,castelach.fr,castel ac'h,unknown,lecastelach,TRUE,TRUE,TRUE,1.881841,
127,godot.se,brasserie godot,unknown,brasserigodot,TRUE,TRUE,TRUE,0.151998,
128,europvin.com,europvin,europvinwines,europvin,TRUE,TRUE,TRUE,0.157548,
129,grillette.ch,grillette domaine de cressier,unknown,lagrillette,TRUE,TRUE,TRUE,3.583594,
130,golfdurochat.com,golf du rochat,unknown,golfdurochat,TRUE,TRUE,TRUE,1.929253,
131,rhs.be,relais de la haute sambre,unknown,unknown,TRUE,TRUE,TRUE,0.225812,
132,lacotel.ch,lacotel,unknown,lacotelavenches,TRUE,TRUE,TRUE,3.648995,
133,akle.fr,aklé,unknown,aklelyon,TRUE,TRUE,TRUE,2.321704,
134,bizzartclub.com,bizz'artc,bizzartclub,bizzartclubparis,TRUE,TRUE,TRUE,0.75372,
135,duboeuf.com,georges duboeuf,georges_duboeuf,georgesduboeuffrance,TRUE,TRUE,TRUE,2.011647,
136,restaurantrivegauche.com,rive gauche,unknown,unknown,TRUE,TRUE,TRUE,1.120689,
137,caffecreole.com,caffé créole,unknown,caffecreoleparis,TRUE,TRUE,TRUE,-1,403
138,sainte-adele.net,chambre de commerce sainte-adèle,sainteadele,sainteadele,TRUE,TRUE,TRUE,1.375118,
139,deconinckwine.com,de coninck wine merchant,deconinck_wine,deconinckwinemerchant,TRUE,TRUE,TRUE,0.192437,
140,3rdragon.ca,3r dragon,3r_dragon,3r.dragon,TRUE,TRUE,TRUE,1.523967,
141,lagarelle.fr,la garelle,unknown,domaine.lagarelle,TRUE,TRUE,TRUE,0.197848,
142,domainesaint-hilaire.com,domaine saint hilaire,unknown,domainesainthilaire,TRUE,TRUE,TRUE,0.410059,
143,aerodrome-gruyere.ch,aérodrome de la gruyère lsgt,lsgt1735,unknown,TRUE,TRUE,TRUE,3.268866,
144,domaine-de-rombeau.com,domaine de rombeau,unknown,auberge-du-domaine-de-rombeau-555750024459512,TRUE,TRUE,FALSE,0.344658,
145,elixirs.ca,elixirs vins & spiritueux,unknown,elixirsvinsspiritueux,TRUE,TRUE,TRUE,0.703987,
146,fromagerie-lemaire.ca,fromagerie lemaire,unknown,fromagerielemaire,TRUE,TRUE,TRUE,1.134381,
147,bruleriedescantons.com,brûlerie des cantons,unknown,bruleriedescantons,TRUE,TRUE,TRUE,0.555255,
148,empordalia.com,empordàlia,coopempordalia,empordalia,TRUE,TRUE,TRUE,0.546283,
149,fermebelalpaga.com,ferme bel alpaga – ferme bon autruche,unknown,fermebelalpagabonautruche,TRUE,TRUE,TRUE,-1,406
150,cleonis.com,cléonis,unknown,les.tricots.de.cleonis,TRUE,TRUE,TRUE,5.143788,
151,palais-bonbons.com,palais bonbons,palaisbonbons,palaisdesbonbons,TRUE,TRUE,TRUE,-1,403
152,jeansulpice.com,jean sulpice,jean_sulpice,sulpicejean,TRUE,TRUE,TRUE,1.218091,
153,lesfermiers.com,les fermiers,unknown,unknown,TRUE,TRUE,TRUE,Non-functional (Timeout Error),
154,chateauderouillac.com,château de rouillac,unknown,unknown,TRUE,TRUE,TRUE,0.493147,
155,vigneronsdubrulhois.com,les vignerons du brulhois,unknown,vigneronsdubrulhois,TRUE,TRUE,TRUE,Non-functional (Timeout Error),
156,chateauthuerry.com,château thuerry,chateauthuerry,chateauthuerry,TRUE,TRUE,TRUE,2.706724,
157,grandmerenature.com,grand'mère nature,unknown,unknown,TRUE,TRUE,TRUE,-1,403
158,saintahon.com,chateau saint ahon,unknown,chateausaintahon,TRUE,TRUE,TRUE,0.288091,
159,labranche.ch,la branche,unknown,unknown,TRUE,TRUE,TRUE,0.735724,
160,hotel-des-artistes.fr,hôtel des artistes,unknown,hoteldesartisteslyon2,TRUE,TRUE,TRUE,-1,403
161,closdeslys.com,le clos des lys,closdeslys,closdeslys,TRUE,TRUE,TRUE,2.529757,
162,lacantinedeschefs.com,la cantine des chefs,unknown,lacantinedeschefs,TRUE,TRUE,TRUE,0.542449,
163,activital.net,activital,unknown,activitalbaye,TRUE,TRUE,TRUE,-1,403
164,kulturstartup.fr,kultur startup,unknown,unknown,TRUE,TRUE,TRUE,1.521995,
165,destination-nyc.com,,unknown,unknown,TRUE,TRUE,TRUE,-1,403
166,mamanbooh.com,mamanbooh,mamanbooh,mamanbooh,TRUE,TRUE,TRUE,0.606509,
167,mypetitefactory.com,my petite factory,mypetitefactory,mypetitefactory,TRUE,TRUE,TRUE,0.356866,
168,franck-kestener.com,franck kestener,unknown,unknown,TRUE,TRUE,TRUE,-1,403
169,le-975.com,le 975,unknown,le975,TRUE,TRUE,TRUE,Non-functional (Timeout Error),
170,venise1.com,"julio larraz, l'allégorie des rêves",venise1_com,unknown,TRUE,TRUE,TRUE,1.465033,
171,laplacedemougins.fr,la place de mougins,unknown,laplacedemougins,TRUE,TRUE,TRUE,2.040467,
172,lesturbain.com,le st-urbain,lesturbain,lesturbain,TRUE,TRUE,TRUE,-1,406
173,mesgougeresauxepinards.fr,mes gougères aux épinards,unknown,mesgougeresauxepinards.fr,TRUE,TRUE,TRUE,0.725928,
174,tourisme-loireatlantique.com,loire atlantique développement,unknown,tourismeloireatlantique,TRUE,TRUE,TRUE,2.27941,
175,brasseriedemontbenon.ch,brasserie de montbenon,unknown,brasseriedemontbenon,TRUE,TRUE,TRUE,0.650661,
176,les3pinardiers.com,les trois pinardiers,les3pinardiers,les3pinardiers,TRUE,TRUE,TRUE,0.830204,
177,la-maison-valthorens.fr,la maison valthorens,unknown,lamaisonvalthorens,TRUE,TRUE,TRUE,0.273562,
178,el-mir.com,el mir restaurant libanais à paris,unknown,elmirrestaurant,TRUE,TRUE,TRUE,1.059561,
179,facteur-emploi.com,facteur-emploi.com -,unknown,unknown,TRUE,TRUE,TRUE,0.293577,
180,cavespierrenoble.fr,cave pierre noble,unknown,cavespierrenoble.page,TRUE,TRUE,TRUE,1.042929,
181,lafabriqueducafe.fr,la fabrique du café,unknown,unknown,TRUE,TRUE,TRUE,-1,403
182,kuriocity.fr,kuriocity,kuriocitys,kuriocitystras,TRUE,TRUE,TRUE,1.773581,
183,justindlevine.com,justin levine,unknown,unknown,TRUE,TRUE,TRUE,Non-functional (SSL Error),
184,laskateboarderie.com,la skateboarderie,unknown,la-skateboarderie-670896999640141,TRUE,TRUE,FALSE,-1,403
185,hotsauce.ch,hot sauce,swisshotsauce,swisshotsauce,TRUE,TRUE,TRUE,1.052058,
186,clos-sorian.com,clos sorian,clossorian,clossorian,TRUE,TRUE,TRUE,Non-functional (Timeout Error),
187,doyoucookenglish.com,do you cook english ?,unknown,doyoucookenglish,TRUE,TRUE,TRUE,0.560918,
188,privatewhiskysociety.com,private whisky society,privatewhisky,private-whisky-society-1476974312529594,TRUE,TRUE,FALSE,1.461242,
189,doo-eat.fr,la santé se cuisine gourmande !,unknown,association.dooeat,TRUE,TRUE,TRUE,2.220366,
190,aumillesime.com,au millésime,unknown,aumillesimestrasbourg,TRUE,TRUE,TRUE,0.996626,
191,planteinfuse.net,plante infuse,unknown,unknown,TRUE,TRUE,TRUE,0.182977,
192,cavestmaurice.com,saint maurice,cavestmaurice,cavestmaurice,TRUE,TRUE,TRUE,0.135492,
193,domainelabarroche.com,domaine la barroche,unknown,domainelabarroche,TRUE,TRUE,TRUE,2.015673,
194,allaroundthegirl.com,all around the girl,oleuwandzegirl,allaroundthegirl,TRUE,TRUE,TRUE,-1,500
195,chateau-saincrit.com,château saincrit,unknown,chateausaincrit,TRUE,TRUE,TRUE,1.888217,
196,lapizzadenico.com,la pizza de nico,lapizzadenico,lapizzadenicofr,TRUE,TRUE,TRUE,1.250737,
197,chateaudejau.com,château de jau,unknown,chateaudejau,TRUE,TRUE,TRUE,0.283399,
198,restaurantbruno.com,chez bruno,unknown,restaurantchezbruno,TRUE,TRUE,TRUE,1.371618,
199,habitationlagriveliere.com,habitation la grivelière,unknown,unknown,TRUE,TRUE,TRUE,2.111094,
200,cafes-savina.fr,,unknown,unknown,TRUE,TRUE,TRUE,1.295119,
201,golfdusoleil.com,golf du soleil,unknown,golf.du.soleil,TRUE,TRUE,TRUE,Non-functional (SSL Error),
202,ventoux-magazine.com,ventoux magazine,unknown,ventoux-magazine-106391929398174,TRUE,TRUE,FALSE,2.286501,
203,grenachesdumonde.com,grenaches du monde,unknown,grenachesdumonde,TRUE,TRUE,TRUE,1.881286,
204,ichiban-japan.com,ichiban japan,ichiban_japan,ichibanjapan,TRUE,TRUE,TRUE,-1,403
205,lamerebrazier.fr,la mère brazier,unknown,lamerebrazier,TRUE,TRUE,TRUE,1.600944,
206,restaurant-levidence.com,restaurant l'evidence,unknown,gaetanevrardrestaurantlevidence,TRUE,TRUE,TRUE,1.762502,
207,vigneenfoule.fr,vigne en foule,unknown,vigneenfoulegaillac,TRUE,TRUE,TRUE,1.42674,
208,les-faunes.ch,domaine les faunes,lesfaunes,lesfaunes,TRUE,TRUE,TRUE,0.195143,
209,pien.fi,pien,pienbottleshop,pienbottleshop,TRUE,TRUE,TRUE,0.562676,
210,aiguilledumidi-restaurant.com,,unknown,unknown,TRUE,TRUE,TRUE,3.907427,
211,racletthouse.ch,racletthouse,unknown,racletthouse,TRUE,TRUE,TRUE,1.960434,
212,meetmymama.com,meet my mama,meetmymama,meetmymama,TRUE,TRUE,TRUE,0.310658,
213,aupetitpoucet.ca,au petit poucet,unknown,aupetitpoucet,TRUE,TRUE,TRUE,1.062132,
214,dsp-interface.be,dsp-interface,unknown,dspinterface,TRUE,TRUE,TRUE,Non-functional (Timeout Error),
215,1282ruedelamaison.com,1282 rue de la maison,unknown,1282ruedelamaison,TRUE,TRUE,TRUE,0.161902,
216,mariedemazet.com,marie de mazet,unknown,mariedemazet,TRUE,TRUE,TRUE,-1,403
217,pacini.com,pacini,unknown,pacinibrossard,TRUE,TRUE,TRUE,-1,403
218,lechaletduloup.com,chalet du loup,lechaletduloup,chaletduloup,TRUE,TRUE,TRUE,0.408142,
219,casino-frejus.fr,casino de fréjus,unknown,casinofrejus,TRUE,TRUE,TRUE,0.414484,
220,lesbonnesjoies.fr,les bonnes joies,unknown,unknown,TRUE,TRUE,TRUE,0.382851,
221,celinepham.com,céline pham,unknown,unknown,TRUE,TRUE,TRUE,0.583966,
222,panachedesign.ca,panache design,unknown,studiopanachedesign,TRUE,TRUE,TRUE,7.3814,
223,capvert-roots.com,by capvert,unknown,unknown,TRUE,TRUE,TRUE,-1,403
224,palettedebine.com,palette de binetous droits réservés,unknown,palettedebine,TRUE,TRUE,TRUE,1.684719,
225,lescathedralesdelasaulaie.com,les cathédrales de la saulaie,unknown,lescathedralesdelasaulaie,TRUE,TRUE,TRUE,1.939761,
226,barencan.com,bar encan,unknown,unknown,TRUE,TRUE,TRUE,0.1413,
227,jacoulot.com,jacoulot,unknown,jacoulot,TRUE,TRUE,TRUE,0.9557,
228,ladiplomate.fr,la diplomate i création agence web eenov,unknown,unknown,TRUE,TRUE,TRUE,-1,403
229,lesburgersdepapa.fr,les burgers de papa,unknown,lesburgersdepapa,TRUE,TRUE,TRUE,0.177082,
230,artfood.be,artfood traiteur,artfoodtraiteur,artfoodtraiteur,TRUE,TRUE,TRUE,0.620349,
231,1001fondues.com,1001 fondues,unknown,1001fondues,TRUE,TRUE,TRUE,0.852035,
232,grandparquet.com,fontainebleau - le grand parquet,unknown,grand.parquet,TRUE,TRUE,TRUE,0.184551,
233,petitparadis.com,petit paradis,unknown,le.petit.paradis.de.vendargues,TRUE,TRUE,TRUE,0.193115,
234,richemer.fr,les caves richemer,cavesrichemer,cavesrichemer,TRUE,TRUE,TRUE,0.160482,
235,groupericher.com,groupe richer,unknown,groupericher,TRUE,TRUE,TRUE,0.647466,
236,icave.eu,icave des montquartiers,unknown,icaveissy,TRUE,TRUE,TRUE,1.342329,
237,mavrommatis.com,mavrommăτίs,unknown,maisonmavrommatis,TRUE,TRUE,TRUE,-1,403
238,domaine-du-paradis.ch,domaine du paradis,domaineparadis,domaine.du.paradis,TRUE,TRUE,TRUE,0.122914,
239,aixetterra.com,aix & terra,aixetterra,aixetterra,TRUE,TRUE,TRUE,0.205112,
240,arnaudlarher.com,arnaud larher,unknown,arnaudlarherpatisseriechocolaterie,TRUE,TRUE,TRUE,0.110291,
241,laplage.fr,éditions la plage,editionslaplage,editionslaplage,TRUE,TRUE,TRUE,0.990186,
242,aperoboulot.com,apéro' boulot,aperoboulot,aperoboulot,TRUE,TRUE,TRUE,0.764284,
243,o-maroc.com,maroc,bernardomaroc,vivreomaroc,TRUE,TRUE,TRUE,0.312473,
244,letempsdunepinte.ca,le temps d'une pinte,unknown,unknown,TRUE,TRUE,TRUE,0.526089,
245,etoileduliban.com,étoile du liban,unknown,letoiledulibanparis,TRUE,TRUE,TRUE,0.717504,
246,panameartcafe.com,le paname art café,panameartcafe,panameartcafe,TRUE,TRUE,TRUE,1.049221,
247,marineiscooking.com,marine is cooking,marineiscooking,unknown,TRUE,TRUE,TRUE,3.410868,
248,belenium.com,belenium,unknown,bierebelenium,TRUE,TRUE,TRUE,0.125313,
249,missebene.fr,missebene,missebenemag,missebeneofficiel,TRUE,TRUE,TRUE,2.999081,
250,maryseetcocotte.com,maryseetcocotte,unknown,unknown,TRUE,TRUE,TRUE,-1,404
251,unecuillereepourpapa.net,une cuillerée pour papa,unecuillprpapa,unecuillereepourpapa,TRUE,TRUE,TRUE,1.37809,
252,jdbn.fr,journal des bonnes nouvelles,le_jdbn,jdbnlejournaldesbonnesnouvelles,TRUE,TRUE,TRUE,0.159569,
253,camping-artdevivre.com,camping clicochic art de vivre,unknown,unknown,TRUE,TRUE,TRUE,Non-functional (Timeout Error),
254,thecrazysoprane.fr,thecrazysoprane,thecrazysoprane,thecrazysoprane,TRUE,TRUE,TRUE,0.109744,
255,vineabox.com,vineabox,vineabox,vineabox,TRUE,TRUE,TRUE,1.365975,
256,cote-mas.fr,côté mas,cotemas,cote.mas,TRUE,TRUE,TRUE,3.060935,
257,fulgurances.com,fulgurances,lesfulgurances,fulgurances-176618619088635,TRUE,TRUE,FALSE,2.035209,
