Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1825,0,100.78737499861745,112.42877299346992,100.78737499861745,425.07216699959827,1256.0,30.846897605221027,0.0,100,110,110,110,110,210,220,230,370,430,430
,Aggregated,1825,0,100.78737499861745,112.42877299346992,100.78737499861745,425.07216699959827,1256.0,30.846897605221027,0.0,100,110,110,110,110,210,220,230,370,430,430
